Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
296,Blake Wesley,22,POR,SG,6,0,16.3,2.3,5.7,.412,0.3,1.7,.200,2.0,4.0,.500,.441,1.0,1.7,.600,0.3,2.0,2.3,3.2,1.7,0.2,1.2,2.3,6.0,,weslebl01
297,Mouhamed Gueye,23,ATL,PF,25,3,17.2,2.4,4.9,.496,0.6,2.1,.269,1.9,2.8,.662,.553,0.4,0.7,.500,1.2,2.6,3.8,1.0,0.6,0.6,0.7,1.8,5.8,,gueyemo02
298,Jamal Shead,23,TOR,PG,25,0,19.3,1.8,5.1,.362,0.9,2.6,.333,1.0,2.4,.393,.449,1.3,1.6,.821,0.4,1.4,1.8,5.1,1.2,0.1,1.2,2.0,5.8,,sheadja01
299,KJ Simpson,23,CHO,PG,11,1,15.1,2.1,5.8,.359,0.8,2.5,.333,1.3,3.4,.378,.430,0.8,1.3,.643,0.4,1.8,2.2,2.4,1.0,0.0,1.6,1.0,5.8,,simpskj01
300,Alex Caruso,31,OKC,SG,15,0,18.8,2.0,5.0,.400,1.1,3.2,.354,0.9,1.8,.481,.513,0.5,0.7,.800,0.3,2.1,2.4,2.5,1.6,0.3,1.0,1.1,5.7,,carusal01
301,Yves Missi,21,NOP,C,18,6,19.6,2.5,4.5,.556,0.0,0.0,,2.5,4.5,.556,.556,0.7,1.3,.542,3.2,2.3,5.4,1.3,0.2,1.0,1.1,2.0,5.7,,missiyv01
302,Al Horford,39,GSW,C,13,1,21.5,1.9,6.0,.321,1.3,4.4,.298,0.6,1.6,.381,.429,0.5,0.5,1.000,0.8,3.5,4.4,2.0,1.0,1.0,1.2,1.5,5.6,,horfoal01
303,Tyrese Proctor,21,CLE,PG,18,0,12.4,1.8,5.2,.344,1.1,3.4,.311,0.7,1.8,.406,.446,1.0,1.2,.857,0.2,1.1,1.3,1.4,0.3,0.0,0.4,1.3,5.6,,proctty01
304,Jaylin Williams,23,OKC,PF,23,3,18.5,1.8,5.0,.353,1.3,4.3,.296,0.5,0.8,.667,.478,0.8,1.2,.643,0.5,4.3,4.7,2.4,0.7,0.5,1.1,1.9,5.6,,willija07
305,Robert Williams,28,POR,C,15,1,15.3,2.7,4.0,.667,0.1,0.5,.125,2.6,3.5,.750,.675,0.2,0.5,.429,2.1,3.3,5.5,0.7,0.6,1.7,0.4,1.3,5.6,,williro04
306,Lonzo Ball,28,CLE,PG,18,3,23.6,1.8,6.3,.292,1.4,5.2,.266,0.4,1.1,.421,.403,0.4,0.7,.667,0.9,3.7,4.6,4.9,1.2,0.3,1.8,1.8,5.5,,balllo01
307,Zach Collins,28,CHI,C,2,0,19.5,2.0,6.0,.333,0.5,2.0,.250,1.5,4.0,.375,.375,1.0,1.5,.667,2.5,2.5,5.0,1.0,0.0,0.5,0.0,2.0,5.5,,colliza01
308,Drew Eubanks,28,SAC,C,24,11,14.8,2.3,3.8,.615,0.0,0.1,.500,2.3,3.7,.618,.621,0.8,1.6,.526,0.8,2.1,3.0,0.3,0.5,0.7,0.9,1.4,5.5,,eubandr01
309,Kevin Love,37,UTA,PF,14,0,14.6,1.7,4.1,.414,1.1,3.1,.349,0.6,1.1,.600,.543,1.0,1.3,.778,1.3,3.0,4.3,1.8,0.3,0.4,0.8,1.6,5.5,,loveke01
310,Kris Murray,25,POR,SF,22,2,24.7,2.2,4.9,.449,0.5,2.0,.279,1.6,2.9,.563,.505,0.5,0.8,.667,1.8,2.0,3.8,1.1,1.1,0.3,0.9,2.0,5.5,,murrakr01
311,Jaxson Hayes,25,LAL,C,20,2,17.1,2.2,3.1,.721,0.1,0.1,1.000,2.2,3.0,.717,.730,0.9,1.5,.621,1.3,2.8,4.0,1.0,0.4,0.8,0.5,1.8,5.4,,hayesja02
312,Craig Porter Jr.,25,CLE,PG,22,0,17.2,2.2,4.3,.511,0.6,1.5,.424,1.5,2.8,.557,.585,0.4,0.7,.533,1.4,1.8,3.2,2.3,1.0,0.6,0.7,1.3,5.4,,portecr01
313,Ben Saraf,19,BRK,SG,12,5,16.9,1.8,5.2,.355,0.8,2.8,.273,1.1,2.4,.448,.427,1.0,1.3,.800,0.4,1.2,1.6,2.8,0.7,0.3,1.9,1.3,5.4,,sarafbe01
314,Mike Conley,38,MIN,PG,24,5,19.1,1.5,4.3,.363,1.1,3.0,.366,0.5,1.3,.355,.490,1.1,1.2,.931,0.4,1.5,1.8,3.2,0.6,0.1,0.7,1.8,5.3,,conlemi01
315,Jett Howard,22,ORL,SF,16,0,10.2,1.9,4.4,.437,1.1,2.9,.370,0.9,1.6,.560,.556,0.3,0.3,1.000,0.3,0.9,1.1,0.7,0.1,0.2,0.1,0.7,5.3,,howarje01
316,Dean Wade,29,CLE,PF,23,3,22.2,1.8,4.8,.373,1.0,3.5,.296,0.7,1.3,.586,.482,0.7,1.0,.696,0.9,2.9,3.8,1.6,0.8,0.6,0.3,1.9,5.3,,wadede01
317,Keon Ellis,26,SAC,SG,23,2,16.3,1.8,4.4,.406,1.3,3.2,.392,0.5,1.2,.444,.550,0.4,0.7,.563,0.3,1.0,1.3,0.5,1.1,0.4,0.4,1.7,5.2,,elliske01
318,Jordan Hawkins,23,NOP,SG,21,0,15.0,1.9,5.6,.342,1.0,3.1,.333,0.9,2.4,.353,.436,0.4,0.6,.667,0.4,1.3,1.7,0.9,0.1,0.1,0.5,0.6,5.2,,hawkijo01
319,Ja'Kobe Walter,21,TOR,SG,22,7,16.5,1.8,4.4,.402,1.1,2.8,.387,0.7,1.6,.429,.526,0.5,0.7,.750,0.8,1.3,2.1,0.8,1.0,0.1,0.7,2.0,5.2,,walteja01
320,Taylor Hendricks,22,UTA,PF,13,3,14.5,1.8,4.4,.404,0.7,2.1,.333,1.1,2.3,.467,.482,0.8,1.2,.733,1.4,2.2,3.6,0.5,0.4,0.3,0.5,0.5,5.1,,hendrta01
321,Gabe Vincent,29,LAL,PG,12,6,22.3,1.6,4.5,.352,1.3,3.6,.372,0.3,0.9,.273,.500,0.6,0.6,1.000,0.3,0.7,1.0,1.7,0.5,0.1,0.5,2.6,5.1,,vincega01
322,Matisse Thybulle,28,POR,SG,4,0,12.3,1.5,2.5,.600,1.0,1.5,.667,0.5,1.0,.500,.800,1.0,1.0,1.000,0.0,1.0,1.0,0.8,2.5,0.0,0.3,1.8,5.0,,thybuma01
323,Jalen Wilson,25,BRK,PF,18,0,14.4,1.6,4.4,.354,1.0,3.0,.333,0.6,1.4,.400,.468,0.9,1.2,.762,0.1,0.9,1.0,0.6,0.2,0.0,0.6,1.3,5.0,,wilsoja03
324,Tony Bradley,28,IND,C,21,3,11.8,2.0,3.3,.586,0.0,0.0,.000,2.0,3.3,.594,.586,1.0,1.4,.724,1.6,1.0,2.7,0.6,0.1,0.2,0.4,2.1,4.9,,bradlto01
325,Sidy Cissoko,21,POR,SF,19,10,18.4,1.7,4.3,.402,0.8,2.5,.319,0.9,1.8,.514,.494,0.6,0.9,.667,0.7,1.5,2.2,1.3,0.5,0.2,1.0,2.5,4.9,,cissosi01
326,RayJ Dennis,24,IND,PG,13,0,12.9,1.7,5.5,.306,0.9,2.9,.316,0.8,2.6,.294,.389,0.6,0.7,.889,0.6,1.0,1.6,2.0,0.2,0.3,1.1,1.2,4.9,,dennira01
327,Oso Ighodaro,23,PHO,PF,24,5,17.5,2.3,3.7,.607,0.0,0.0,.000,2.3,3.7,.614,.607,0.4,1.1,.385,0.8,2.8,3.5,1.7,0.8,0.6,1.2,2.5,4.9,,ighodos01
328,Karlo Matković,24,NOP,PF,15,0,11.5,2.2,3.1,.717,0.3,0.7,.500,1.9,2.4,.778,.772,0.2,0.5,.375,0.5,2.2,2.7,0.9,0.1,0.5,0.5,1.4,4.9,,matkoka01
329,Liam McNeeley,20,CHO,SF,18,0,14.1,1.4,3.7,.394,1.0,2.4,.409,0.4,1.2,.364,.530,1.1,1.3,.826,0.4,2.0,2.4,0.9,0.2,0.1,0.6,1.6,4.9,,mcneeli01
330,Micah Peavy,24,NOP,SG,21,1,16.3,2.0,5.2,.394,0.3,1.6,.176,1.8,3.6,.493,.422,0.5,0.7,.714,1.0,1.4,2.4,1.1,0.6,0.1,0.4,1.7,4.9,,peavymi01
331,Jaylen Clark,24,MIN,SG,22,0,14.7,1.6,3.8,.434,0.7,2.0,.349,1.0,1.8,.525,.524,0.8,1.3,.643,1.1,1.2,2.3,0.5,0.8,0.1,0.3,1.7,4.8,,clarkja02
332,Garrison Mathews,29,IND,SG,9,1,13.8,1.2,3.4,.355,1.0,3.1,.321,0.2,0.3,.667,.500,1.3,1.7,.800,0.1,0.8,0.9,0.6,0.3,0.2,0.3,1.0,4.8,,mathega01
333,Ethan Thompson,26,IND,SG,4,1,18.0,1.8,3.0,.583,1.3,2.3,.556,0.5,0.8,.667,.792,0.0,0.0,,0.8,1.0,1.8,1.0,0.8,0.5,0.0,1.8,4.8,,thompet01
334,Trey Alexander,22,NOP,SG,3,0,12.3,2.0,3.0,.667,0.7,1.0,.667,1.3,2.0,.667,.778,0.0,0.0,,0.0,1.3,1.3,1.3,0.3,0.3,0.3,1.3,4.7,,alexatr01
335,Justin Champagnie,24,WAS,SF,20,5,13.1,1.6,3.5,.443,0.3,1.3,.240,1.3,2.3,.556,.486,1.3,1.5,.862,1.6,2.2,3.8,0.9,0.7,0.4,0.4,1.1,4.7,,champju01
336,Kelly Olynyk,34,SAS,C,13,0,11.1,1.5,3.0,.513,0.5,1.5,.350,1.0,1.5,.684,.603,1.1,1.5,.737,0.8,1.7,2.5,1.5,0.5,0.0,0.8,1.7,4.7,,olynyke01
337,Terrence Shannon Jr.,25,MIN,SG,15,0,12.9,1.5,3.6,.407,0.7,1.7,.400,0.8,1.9,.414,.500,1.1,1.4,.762,0.3,1.2,1.5,0.7,0.3,0.0,0.8,1.6,4.7,,shannte01
338,Branden Carlson,26,OKC,C,16,0,9.9,1.9,3.6,.526,0.7,1.8,.379,1.2,1.8,.679,.623,0.2,0.4,.429,0.5,1.7,2.2,0.7,0.1,0.6,0.3,1.0,4.6,,carlsbr01
339,Spencer Jones,24,DEN,SF,19,8,15.9,1.7,2.9,.571,0.7,1.6,.452,0.9,1.3,.720,.696,0.5,0.7,.643,1.2,0.8,2.1,0.7,0.6,0.2,0.6,2.3,4.6,,jonessp01
340,Asa Newell,20,ATL,PF,15,0,8.5,1.7,3.1,.543,0.7,1.5,.500,0.9,1.6,.583,.663,0.5,0.7,.800,0.9,0.7,1.5,0.4,0.4,0.2,0.4,1.1,4.6,,newelas01
341,Jeremiah Robinson-Earl,25,IND,PF,17,3,17.6,1.7,4.9,.349,0.5,1.9,.242,1.2,2.9,.420,.398,0.8,0.8,.929,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,4.6,,robinje02
342,Jabari Walker,23,PHI,PF,22,5,13.7,1.7,3.7,.463,0.5,1.6,.343,1.2,2.1,.553,.537,0.6,0.8,.765,1.2,2.4,3.5,0.6,0.1,0.3,0.5,1.8,4.6,,walkeja01
343,Nique Clifford,23,SAC,SG,20,2,16.2,1.7,4.1,.407,0.6,1.7,.333,1.1,2.4,.458,.475,0.6,0.9,.667,0.6,2.0,2.6,1.5,0.4,0.3,0.8,2.2,4.5,,cliffni01
344,DeAndre Jordan,37,NOP,C,2,1,11.5,2.0,2.5,.800,0.0,0.0,,2.0,2.5,.800,.800,0.5,1.0,.500,2.0,3.0,5.0,0.0,0.0,0.0,0.5,0.5,4.5,,jordade01
345,Nicolas Batum,37,LAC,PF,24,2,19.4,1.4,3.8,.378,1.3,3.5,.376,0.1,0.2,.400,.556,0.3,0.3,.857,0.5,2.3,2.8,0.8,0.9,0.4,0.7,1.9,4.4,,batumni01
346,Cam Christie,20,LAC,SG,16,0,11.5,1.3,3.8,.344,0.6,1.8,.310,0.8,2.0,.375,.418,1.3,1.8,.714,0.5,1.8,2.3,0.6,0.4,0.1,0.4,0.7,4.4,,chrisca02
347,Pat Connaughton,33,CHO,SG,12,0,9.7,1.5,3.1,.486,0.8,2.0,.375,0.8,1.1,.692,.608,0.5,0.8,.667,0.3,1.6,1.9,0.6,0.4,0.1,0.3,0.4,4.3,,connapa01
348,Bones Hyland,25,MIN,PG,15,0,9.0,1.7,3.3,.510,0.8,2.1,.387,0.9,1.2,.722,.633,0.2,0.3,.750,0.1,0.9,1.1,1.4,0.5,0.0,0.8,1.1,4.3,,hylanbo01
349,Trayce Jackson-Davis,25,GSW,C,15,1,12.7,1.7,3.1,.532,0.0,0.0,,1.7,3.1,.532,.532,1.0,1.6,.625,1.5,1.7,3.2,1.1,0.3,0.6,0.5,1.4,4.3,,jackstr02
350,Dereck Lively II,21,DAL,C,7,4,16.4,1.6,2.6,.611,0.0,0.0,,1.6,2.6,.611,.611,1.1,1.4,.800,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,4.3,,livelde01
351,Javon Small,23,MEM,PG,8,0,12.4,1.3,3.5,.357,0.8,2.4,.316,0.5,1.1,.444,.464,1.0,1.3,.800,0.1,0.9,1.0,2.8,0.0,0.1,1.0,0.9,4.3,,smallja01
352,Jarred Vanderbilt,26,LAL,PF,15,2,17.3,1.5,3.4,.431,0.3,1.0,.267,1.2,2.4,.500,.471,1.1,1.3,.842,1.3,3.9,5.2,1.5,0.9,0.3,1.5,1.9,4.3,,vandeja01
353,Keaton Wallace,26,ATL,PG,23,2,14.6,1.6,3.9,.400,1.0,2.5,.404,0.6,1.4,.394,.528,0.2,0.4,.500,0.0,1.5,1.5,2.8,0.7,0.1,0.7,1.4,4.3,,wallake01
354,Eric Gordon,37,PHI,SG,5,0,11.4,1.6,2.6,.615,1.0,1.6,.625,0.6,1.0,.600,.808,0.0,0.0,,0.2,0.2,0.4,0.6,0.6,0.0,0.6,0.4,4.2,,gordoer01
355,Olivier-Maxence Prosper,23,MEM,PF,13,0,9.4,1.2,2.8,.405,0.1,0.7,.111,1.1,2.2,.500,.419,1.7,1.8,.917,0.8,1.6,2.4,0.5,0.2,0.1,0.4,0.6,4.1,,prospol01
356,Gary Payton II,33,GSW,SG,24,1,12.3,1.8,3.8,.478,0.3,1.2,.276,1.5,2.5,.574,.522,0.1,0.1,1.000,0.9,2.2,3.0,1.6,0.6,0.3,0.7,1.5,4.0,,paytoga02
357,James Wiseman,24,IND,C,1,1,20.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,4.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,4.0,,wisemja01
358,Jamison Battle,24,TOR,SF,17,1,8.1,1.5,2.2,.676,0.8,1.3,.591,0.7,0.9,.800,.851,0.2,0.3,.800,0.2,1.2,1.4,0.2,0.1,0.1,0.4,0.6,3.9,,battlja01
359,Ousmane Dieng,22,OKC,C,16,0,12.6,1.4,3.4,.418,0.7,1.8,.393,0.8,1.7,.444,.518,0.4,0.4,1.000,0.4,1.3,1.7,0.9,0.1,0.3,0.4,1.1,3.9,,diengou01
360,Keshad Johnson,24,MIA,SF,9,0,11.7,1.3,3.9,.343,0.4,1.7,.267,0.9,2.2,.400,.400,0.8,1.2,.636,1.0,2.1,3.1,0.1,0.3,0.4,0.3,1.1,3.9,,johnske10
361,Will Riley,19,WAS,SF,16,0,10.0,1.6,3.3,.472,0.3,1.1,.294,1.3,2.3,.556,.519,0.5,0.8,.667,0.7,1.1,1.8,0.8,0.3,0.0,0.6,0.6,3.9,,rileywi01
362,Kobe Brown,26,LAC,PF,16,0,12.0,1.3,3.2,.412,0.6,2.1,.273,0.8,1.1,.667,.500,0.6,0.8,.833,0.6,1.6,2.2,1.1,0.4,0.1,0.6,0.6,3.8,,brownko01
363,Clint Capela,31,HOU,C,20,1,11.9,1.7,3.0,.559,0.0,0.0,,1.7,3.0,.559,.559,0.5,0.8,.667,2.7,2.3,4.9,0.5,0.5,0.8,0.5,1.1,3.8,,capelca01
364,Duop Reath,29,POR,C,19,0,8.2,1.4,2.5,.553,1.0,1.8,.543,0.4,0.6,.583,.755,0.1,0.2,.667,0.2,0.7,0.9,0.3,0.2,0.1,0.3,0.8,3.8,,reathdu01
365,Rob Dillingham,21,MIN,PG,21,0,10.1,1.5,4.2,.348,0.3,1.0,.286,1.2,3.2,.368,.382,0.4,0.6,.692,0.2,0.9,1.1,2.0,0.7,0.1,1.0,1.0,3.7,,dilliro01
366,Tyler Kolek,24,NYK,PG,19,0,10.1,1.5,3.3,.444,0.5,1.6,.300,1.0,1.7,.576,.516,0.3,0.4,.625,0.3,0.6,0.9,1.9,0.4,0.1,0.6,1.0,3.7,,kolekty01
367,Nick Richards,28,PHO,C,22,2,9.8,1.4,2.7,.517,0.0,0.0,,1.4,2.7,.517,.517,0.9,1.3,.679,1.3,2.0,3.3,0.3,0.1,0.5,0.9,1.4,3.7,,richani01
368,Mitchell Robinson,27,NYK,C,15,10,17.5,1.7,2.6,.667,0.0,0.0,,1.7,2.6,.667,.667,0.2,1.1,.176,4.6,3.8,8.4,0.9,0.8,0.9,0.7,2.2,3.7,,robinmi01
369,Julian Strawther,23,DEN,SG,9,0,7.9,1.2,3.3,.367,0.2,1.8,.125,1.0,1.6,.643,.400,1.0,1.4,.692,0.0,1.6,1.6,0.4,0.0,0.1,0.3,0.7,3.7,,strawju01
370,Malaki Branham,22,WAS,SG,11,0,8.0,1.0,2.5,.393,0.2,1.0,.182,0.8,1.5,.529,.429,1.5,1.8,.800,0.5,1.2,1.6,0.9,0.2,0.1,0.5,0.5,3.6,,branhma01
371,Larry Nance Jr.,33,CLE,PF,16,2,15.0,1.4,4.1,.354,0.6,2.1,.303,0.8,2.0,.406,.431,0.1,0.2,.333,0.8,2.0,2.8,1.3,0.6,0.3,0.6,2.4,3.6,,nancela02
372,Noah Penda,21,ORL,SF,13,0,8.8,1.3,2.7,.486,0.5,0.8,.600,0.8,1.9,.440,.571,0.5,0.8,.636,1.6,1.6,3.2,1.1,0.1,0.2,0.5,0.9,3.6,,pendano01
373,Ochai Agbaji,25,TOR,SG,17,1,14.0,1.4,3.6,.393,0.1,1.2,.100,1.3,2.4,.537,.410,0.5,0.7,.750,0.5,1.5,1.9,0.7,0.4,0.2,0.3,1.8,3.5,,agbajoc01
374,Charles Bassey,25,MEM,C,2,0,15.5,1.5,4.0,.375,0.0,0.0,,1.5,4.0,.375,.375,0.5,1.5,.333,3.5,4.0,7.5,1.0,0.5,0.5,0.5,2.5,3.5,,bassech01
375,Adem Bona,22,PHI,C,17,3,16.1,1.3,2.4,.550,0.1,0.2,.333,1.2,2.2,.568,.563,0.8,1.4,.583,1.5,2.2,3.7,0.2,0.4,1.5,0.7,1.9,3.5,,bonaad01
376,Jordan McLaughlin,29,SAS,PG,8,0,9.3,1.3,3.0,.417,0.6,1.9,.333,0.6,1.1,.556,.521,0.4,0.4,1.000,0.4,0.4,0.8,1.3,0.9,0.0,0.3,0.9,3.5,,mclaujo01
377,Antonio Reeves,25,CHO,SG,6,0,8.8,1.3,2.7,.500,0.8,1.7,.500,0.5,1.0,.500,.656,0.0,0.0,,0.2,0.7,0.8,0.3,0.2,0.0,0.0,0.5,3.5,,reevean01
378,Hugo González,19,BOS,SF,19,1,11.3,1.4,2.7,.519,0.5,1.0,.474,0.9,1.7,.545,.606,0.1,0.3,.400,0.6,1.4,2.0,0.5,0.7,0.2,0.6,1.8,3.4,,gonzahu01
379,Jase Richardson,20,ORL,SG,14,0,6.6,1.2,2.4,.500,0.4,1.0,.429,0.8,1.4,.550,.588,0.5,0.6,.778,0.3,0.6,0.9,0.9,0.2,0.0,0.3,0.5,3.4,,richaja02
380,Gui Santos,23,GSW,PF,18,1,9.3,1.2,3.0,.389,0.5,1.8,.273,0.7,1.2,.571,.472,0.6,0.8,.714,0.8,1.1,1.9,0.6,0.3,0.1,0.8,1.3,3.4,,santogu01
381,Baylor Scheierman,25,BOS,SG,20,0,12.1,1.3,2.3,.556,0.9,1.8,.486,0.4,0.5,.800,.744,0.1,0.1,1.000,0.4,1.6,2.0,0.8,0.5,0.1,0.4,1.4,3.4,,scheiba01
382,Thomas Bryant,28,CLE,C,18,0,7.8,1.2,2.9,.423,0.3,1.4,.200,0.9,1.5,.630,.471,0.6,0.8,.733,0.5,1.7,2.2,0.2,0.3,0.3,0.2,1.0,3.3,,bryanth01
383,Chaz Lanier,24,DET,SG,13,0,10.2,1.1,3.2,.333,0.9,2.8,.324,0.2,0.4,.400,.476,0.2,0.2,1.000,0.5,0.6,1.1,0.8,0.3,0.0,0.1,0.2,3.3,,laniech01
384,David Jones García,24,SAS,SF,10,0,6.7,1.3,2.5,.520,0.3,0.5,.600,1.0,2.0,.500,.580,0.3,0.6,.500,0.4,0.8,1.2,1.8,0.6,0.1,0.5,0.6,3.2,,jonesda06
385,Pete Nance,25,MIL,PF,5,0,3.2,1.2,1.8,.667,0.8,1.4,.571,0.4,0.4,1.000,.889,0.0,0.0,,0.0,0.6,0.6,0.2,0.0,0.0,0.0,0.0,3.2,,nancepe01
386,Guerschon Yabusele,30,NYK,C,22,0,10.1,1.2,2.9,.406,0.6,2.0,.302,0.6,1.0,.619,.508,0.3,0.5,.600,0.7,1.5,2.2,0.4,0.1,0.2,0.3,1.2,3.2,,yabusgu01
387,Mark Sears,23,MIL,PG,7,0,3.7,0.9,1.9,.462,0.6,1.1,.500,0.3,0.7,.400,.615,0.9,1.1,.750,0.1,0.1,0.3,0.3,0.0,0.0,0.6,0.6,3.1,,searsma01
388,Dalen Terry,23,CHI,SG,13,0,11.2,1.3,2.8,.472,0.2,1.0,.231,1.1,1.8,.609,.514,0.2,0.5,.429,0.6,1.2,1.8,1.5,0.8,0.3,0.7,1.2,3.1,,terryda01
389,Jonathan Isaac,28,ORL,PF,21,0,10.2,1.1,2.4,.460,0.2,1.1,.208,0.9,1.2,.692,.510,0.5,1.0,.500,0.8,2.3,3.1,0.1,0.3,0.5,0.4,0.7,3.0,,isaacjo01
390,John Konchar,29,MEM,SG,22,0,13.0,1.2,2.3,.510,0.4,1.3,.321,0.8,1.0,.739,.598,0.3,0.4,.667,0.5,2.1,2.7,1.2,0.9,0.3,0.3,0.9,3.0,,konchjo01
391,Chris Livingston,22,CLE,SF,3,0,5.7,1.3,2.3,.571,0.0,1.0,.000,1.3,1.3,1.000,.571,0.3,0.3,1.000,0.0,1.0,1.0,0.3,0.3,0.0,0.0,1.3,3.0,,livinch01
392,Jahmai Mashack,23,MEM,SG,2,0,4.5,1.0,2.5,.400,1.0,2.0,.500,0.0,0.5,.000,.600,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,,mashaja01
393,Emanuel Miller,25,CHI,PF,5,0,6.6,1.2,2.6,.462,0.4,1.2,.333,0.8,1.4,.571,.538,0.2,0.4,.500,0.2,0.4,0.6,0.8,0.4,0.0,0.0,0.4,3.0,,milleem01
394,Riley Minix,25,SAS,SF,3,0,2.7,1.3,2.0,.667,0.3,1.0,.333,1.0,1.0,1.000,.750,0.0,0.0,,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,3.0,,minixri01
395,Monte Morris,30,IND,PG,6,0,10.8,1.2,3.3,.350,0.3,1.3,.250,0.8,2.0,.417,.400,0.3,0.7,.500,0.2,1.0,1.2,1.5,0.2,0.2,0.3,0.5,3.0,,morrimo01
396,Julian Phillips,22,CHI,SF,21,2,10.4,1.1,2.6,.436,0.4,1.4,.300,0.7,1.2,.600,.518,0.2,0.3,.833,0.8,0.7,1.4,0.3,0.5,0.2,0.1,1.1,3.0,,phillju01
